code,name,changepercent,trade,open,high,low,settlement,volume,turnoverratio,amount,per,pb_x,mktcap,nmc,industry,area,pe,outstanding,totals,totalAssets,liquidAssets,fixedAssets,reserved,reservedPerShare,esp,bvps,pb_y,timeToMarket,undp,perundp,rev,profit,gpr,npr,holders
603020 ,爱普股份,1.126,8.98,8.87,9.03,8.82,8.88,3660181.0,1.14381,32729258.0,19.933,1.476,287360.0,287360.0,食品,上海,22.36,3.2,3.2,226571.47,175814.77,18738.31,80275.28,2.51,0.301,6.08,1.48,20150325.0,73049.71,2.28,5.99,-27.32,17.41,5.16,21957.0
603019 ,中科曙光,0.016,61.71,61.7,63.66,60.8,61.7,30941470.0,4.81187,1923664653.0,92.104,10.854,3968100.91887,3968100.91887,电脑设备,天津,92.15,6.43,6.43,1316730.5,813308.5,126628.72,170139.52,2.65,0.67,5.68,10.85,20141106.0,119733.55,1.86,43.89,39.43,18.3,4.75,77900.0
603018 ,中设集团,2.522,21.95,21.33,22.43,21.33,21.41,4438313.0,1.4369,98100618.0,17.148,2.783,688785.584935,677994.258145,建筑施工,江苏,17.39,3.09,3.14,675857.75,554000.19,41748.37,81542.11,2.6,1.28,7.89,2.78,20141013.0,126935.57,4.05,51.23,33.54,26.22,9.44,11700.0
603017 ,中衡设计,4.434,16.25,15.77,16.66,15.56,15.56,16448248.0,6.09359,263814530.0,29.545,2.61,447165.433,438631.16375,建筑施工,江苏,29.25,2.7,2.75,272277.47,141125.38,37531.98,100557.15,3.65,0.41700000000000004,6.23,2.61,20141231.0,41850.6,1.52,25.3,5.85,25.26,10.88,13789.0
603016 ,新宏泰,0.429,21.06,20.86,21.13,20.58,20.97,4012033.0,5.69406,84035298.0,70.2,3.832,312024.96,148388.76,电气设备,江苏,49.66,0.7,1.48,92700.06,74835.21,11571.65,27770.22,1.87,0.318,5.5,3.83,20160701.0,33910.76,2.29,9.36,38.64,38.44,15.02,19083.0
603015 ,弘讯科技,4.005,8.83,8.69,9.34,8.35,8.49,38529589.0,9.58684,341639970.0,44.15,2.981,359514.333,354878.583,电气设备,浙江,51.04,4.02,4.07,156602.31,115415.95,23160.65,47079.01,1.16,0.13,2.96,2.98,20150303.0,29319.58,0.72,0.28,-1.73,38.02,9.5,25852.0
603013 ,亚普股份,0.539,18.66,18.56,18.88,18.51,18.56,6756548.0,11.26091,126356069.0,25.216,3.22,951660.0,111960.0,汽车配件,江苏,30.55,0.6,5.1,689055.31,440618.19,190615.02,71261.35,1.4,0.49,5.8,3.22,20180509.0,150348.11,2.95,0.0,0.0,15.03,4.15,32595.0
603012 ,创力集团,-0.766,9.07,9.03,9.19,9.03,9.14,5905562.0,0.92773,53726225.0,39.435,2.156,577359.92,577359.92,专用机械,上海,28.03,6.37,6.37,412843.0,296497.5,38617.44,86021.21,1.35,0.243,4.21,2.16,20150320.0,106561.82,1.67,16.23,50.6,35.56,15.09,26644.0
603011 ,合锻智能,0.974,6.22,6.14,6.28,6.12,6.16,9840304.0,2.20536,61218661.0,69.111,1.612,281865.391868,277535.649868,机床制造,安徽,55.36,4.46,4.53,229111.91,123728.6,37094.05,103764.03,2.29,0.09,3.86,1.61,20141107.0,23141.07,0.51,6.54,2.81,32.98,6.69,24487.0
603010 ,万盛股份,1.294,15.66,15.58,15.76,15.5,15.46,4176795.0,1.81025,65385018.0,43.5,3.366,396312.476166,361324.559646,化工原料,浙江,21.87,2.31,2.53,201133.13,91432.5,65289.28,44349.46,1.75,0.54,4.65,3.37,20141010.0,43302.6,1.71,4.19,74.59,22.18,11.95,11786.0
